name,price,rating,stock
ASUS ROG Strix GeForce RTX 4090,25 890:-,5.0 of 5 stjärnor,27 st i lager
PNY GeForce RTX 4090 Gaming VERTO EPIC-X RGB Triple Fan,23 790:-,5.0 of 5 stjärnor,50+ st i lager
ZOTAC GAMING GeForce RTX 4090 Trinity,20 534:-,4.5 of 5 stjärnor,22 st i lager
MSI GeForce RTX 4090 SUPRIM X,22 299:-,5.0 of 5 stjärnor,11 st i lager
MSI GeForce RTX 4090 GAMING X TRIO,23 999:-,3.7 of 5 stjärnor,43 st i lager
ASUS TUF Gaming GeForce RTX 4090 OC Edition,22 999:-,4.5 of 5 stjärnor,33 st i lager
ZOTAC GAMING GeForce RTX 4090 Trinity OC,21 843:-,5.0 of 5 stjärnor,2 st i lager
ASUS ROG Strix GeForce RTX 4090 OC Edition,24 399:-,3.0 of 5 stjärnor,50+ st i lager
PNY GeForce RTX 4090 24GB XLR8 Gaming VERTO EPIC-X RGB OC,22 566:-,None,48 st i lager
Palit GeForce RTX 4090 GameRock OC,21 269:-,None,50+ st i lager
ASUS TUF Gaming GeForce RTX 4090,21 990:-,None,45 st i lager
